"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","dv","dframe"
"ran_pars","ID","sd__(Intercept)",1.6928519475627,NA,NA,NA,NA,NA,NA,"stress","by_sample_iqr_out2.5"
"fixed",NA,"(Intercept)",67.5778667062457,1.36877911335365,49.3709072902735,169.240631595226,2.02827677910343e-102,64.8757869523046,70.2799464601868,"arousal","by_sample_iqr_out3.5"
"ran_pars","ID","sd__(Intercept)",17.5789315440117,NA,NA,NA,NA,NA,NA,"arousal","by_sample_iqr_out3.5"
"ran_pars","Residual","sd__Observation",16.2891534949168,NA,NA,NA,NA,NA,NA,"arousal","by_sample_iqr_out3.5"
"fixed",NA,"(Intercept)",68.6142768842957,1.44958433867997,47.3337597912914,168.510392576517,2.9590769040459e-99,65.7525918312789,71.4759619373125,"valence","by_sample_iqr_out3.5"
"ran_pars","ID","sd__(Intercept)",18.6869401677746,NA,NA,NA,NA,NA,NA,"valence","by_sample_iqr_out3.5"
"ran_pars","Residual","sd__Observation",14.3117167673817,NA,NA,NA,NA,NA,NA,"valence","by_sample_iqr_out3.5"
"fixed",NA,"(Intercept)",-3.86000970307305,0.180761582223681,-21.3541486835213,NA,3.56813451026752e-101,-4.21429589401994,-3.50572351212616,"stress","by_sample_iqr_out3.5"
"ran_pars","ID","sd__(Intercept)",1.70353261118833,NA,NA,NA,NA,NA,NA,"stress","by_sample_iqr_out3.5"
"fixed",NA,"(Intercept)",67.5990164217458,1.3666568863932,49.463048915042,169.271135511863,1.46870297725848e-102,64.9011296151331,70.2969032283585,"arousal","by_participant_cutoffNA"
"ran_pars","ID","sd__(Intercept)",17.5788771043038,NA,NA,NA,NA,NA,NA,"arousal","by_participant_cutoffNA"
"ran_pars","Residual","sd__Observation",16.2541984478026,NA,NA,NA,NA,NA,NA,"arousal","by_participant_cutoffNA"
"fixed",NA,"(Intercept)",68.5586016455447,1.447834298508,47.3525193568038,168.655200303042,2.45241592738232e-99,65.7003891694472,71.4168141216422,"valence","by_participant_cutoffNA"
"ran_pars","ID","sd__(Intercept)",18.6822634603934,NA,NA,NA,NA,NA,NA,"valence","by_participant_cutoffNA"
"ran_pars","Residual","sd__Observation",14.403664969597,NA,NA,NA,NA,NA,NA,"valence","by_participant_cutoffNA"
"fixed",NA,"(Intercept)",-3.85912478254005,0.178824189168969,-21.5805523876505,NA,2.73580078663146e-103,-4.20961375287581,-3.5086358122043,"stress","by_participant_cutoffNA"
"ran_pars","ID","sd__(Intercept)",1.72335943462322,NA,NA,NA,NA,NA,NA,"stress","by_participant_cutoffNA"
"fixed",NA,"(Intercept)",67.6510730751334,1.36900524664446,49.416226300777,168.805716249672,2.59871982341785e-102,64.9484967738264,70.3536493764404,"arousal","by_participant_iqr_out2.5"
"ran_pars","ID","sd__(Intercept)",17.5550830667362,NA,NA,NA,NA,NA,NA,"arousal","by_participant_iqr_out2.5"
"ran_pars","Residual","sd__Observation",16.3304899035841,NA,NA,NA,NA,NA,NA,"arousal","by_participant_iqr_out2.5"
"fixed",NA,"(Intercept)",68.7325551036344,1.44706876094513,47.4977810029862,168.556595851125,1.65225816720564e-99,65.8758418213958,71.5892683858731,"valence","by_participant_iqr_out2.5"
"ran_pars","ID","sd__(Intercept)",18.6347839589672,NA,NA,NA,NA,NA,NA,"valence","by_participant_iqr_out2.5"
"ran_pars","Residual","sd__Observation",14.3219406260104,NA,NA,NA,NA,NA,NA,"valence","by_participant_iqr_out2.5"
"fixed",NA,"(Intercept)",-3.8340242987811,0.183612647903876,-20.8810468262963,NA,7.96281046273318e-97,-4.19389847577874,-3.47415012178347,"stress","by_participant_iqr_out2.5"
"ran_pars","ID","sd__(Intercept)",1.6928519475627,NA,NA,NA,NA,NA,NA,"stress","by_participant_iqr_out2.5"
"fixed",NA,"(Intercept)",67.5778667062457,1.36877911335365,49.3709072902735,169.240631595226,2.02827677910343e-102,64.8757869523046,70.2799464601868,"arousal","by_participant_iqr_out3.5"
"ran_pars","ID","sd__(Intercept)",17.5789315440117,NA,NA,NA,NA,NA,NA,"arousal","by_participant_iqr_out3.5"
"ran_pars","Residual","sd__Observation",16.2891534949168,NA,NA,NA,NA,NA,NA,"arousal","by_participant_iqr_out3.5"
"fixed",NA,"(Intercept)",68.6142768842957,1.44958433867997,47.3337597912914,168.510392576517,2.9590769040459e-99,65.7525918312789,71.4759619373125,"valence","by_participant_iqr_out3.5"
"ran_pars","ID","sd__(Intercept)",18.6869401677746,NA,NA,NA,NA,NA,NA,"valence","by_participant_iqr_out3.5"
"ran_pars","Residual","sd__Observation",14.3117167673817,NA,NA,NA,NA,NA,NA,"valence","by_participant_iqr_out3.5"
"fixed",NA,"(Intercept)",-3.86000970307305,0.180761582223681,-21.3541486835213,NA,3.56813451026752e-101,-4.21429589401994,-3.50572351212616,"stress","by_participant_iqr_out3.5"
"ran_pars","ID","sd__(Intercept)",1.70353261118833,NA,NA,NA,NA,NA,NA,"stress","by_participant_iqr_out3.5"
